instante_utc	replicas	revision
23:16:50	1	ca-cent-api--0000003
23:17:08	1	ca-cent-api--0000003
23:17:26	3	ca-cent-api--0000003
23:17:43	3	ca-cent-api--0000003
23:18:00	3	ca-cent-api--0000003
23:18:17	3	ca-cent-api--0000003
23:18:35	3	ca-cent-api--0000003
23:18:55	6	ca-cent-api--0000003
23:19:13	6	ca-cent-api--0000003
23:19:32	6	ca-cent-api--0000003
23:19:49	6	ca-cent-api--0000003
23:20:07	6	ca-cent-api--0000003
23:20:24	6	ca-cent-api--0000003
23:20:40	6	ca-cent-api--0000003
23:20:57	6	ca-cent-api--0000003
23:21:15	6	ca-cent-api--0000003
23:21:32	6	ca-cent-api--0000003
23:21:51	6	ca-cent-api--0000003
23:22:08	6	ca-cent-api--0000003
23:22:24	6	ca-cent-api--0000003
23:22:42	6	ca-cent-api--0000003
23:23:01	6	ca-cent-api--0000003
23:23:18	6	ca-cent-api--0000003
23:23:43	6	ca-cent-api--0000003
23:24:01	6	ca-cent-api--0000003
23:24:20	6	ca-cent-api--0000003
23:24:40	6	ca-cent-api--0000003
23:24:58	6	ca-cent-api--0000003
23:25:16	6	ca-cent-api--0000003
23:25:37	6	ca-cent-api--0000003
23:25:54	6	ca-cent-api--0000003
23:26:13	6	ca-cent-api--0000003
23:26:31	6	ca-cent-api--0000003
23:26:48	6	ca-cent-api--0000003
23:27:10	6	ca-cent-api--0000003
23:27:27	6	ca-cent-api--0000003
